Feature_Artist_ID,Song_ID
3tVQdUvClmAT7URs9V3rsp,1zi7xx7UVEFkmKfv06H8x0
3TVXtAsR1Inumwj472S9r4,72TFWvU3wUYdUuxejTTIzt
3TVXtAsR1Inumwj472S9r4,2IRZnDFmlqMuOrYOLnZZyc
3TVXtAsR1Inumwj472S9r4,6vN77lE9LK6HP2DewaN6HZ
5pKCCKE2ajJHZ9KAiaK11H,3BtuIIrQlkujKPuWF2B85z
3TVXtAsR1Inumwj472S9r4,5PDImM7DglB3cvlkHWWz2h
1URnnhqYAYcrqrcwql10ft,3F5CgOj3wFlRv51JsHbxhe
1sBkRIssrMs1AbVkOJbc7a,5ry2OE6R2zPQFDO85XkgRb
0Y5tJX1MQlPlqiwlOH1tJY,40iJIUlhi6renaREYGeIDS
3TVXtAsR1Inumwj472S9r4,4X5f3vT8MRuXF68pfjNte5
17lzZA2AlOHwCwFALHttmp,4X5f3vT8MRuXF68pfjNte5
2YZyLoL8N0Wb9xBt1NhZWg,4X5f3vT8MRuXF68pfjNte5
5f7VJjfbwm532GiveGC0ZK,65OVbaJR5O1RmwOQx0875b
3TVXtAsR1Inumwj472S9r4,59nOXPmaKlBfGMDeOVGrIK
3TVXtAsR1Inumwj472S9r4,2XHzzp1j4IfTNp1FTn7YFg
1RyvyyTE3xzB2ZywiAwp0i,2XHzzp1j4IfTNp1FTn7YFg
3TVXtAsR1Inumwj472S9r4,6n4U3TlzUGhdSFbUUhTvLP
4fxd5Ee7UefO4CUXgwJ7IP,4wVOKKEHUJxHCFFNUWDn0B
1URnnhqYAYcrqrcwql10ft,2BcMwX1MPV6ZHP4tUT9uq6
3TVXtAsR1Inumwj472S9r4,14SaZBTjxlorHJQxXh01Hu
5pKCCKE2ajJHZ9KAiaK11H,124NFj84ppZ5pAxTuVQYCQ
3TVXtAsR1Inumwj472S9r4,5UsLjwBaTHBX4ektWIr4XX
5K4W6rqBFWDnAN6FQUkS6x,5UsLjwBaTHBX4ektWIr4XX
55Aa2cqylxrFIXC767Z865,5UsLjwBaTHBX4ektWIr4XX
0VRj0yCOv2FXJNP47XQnx5,2bjwRfXMk4uRgOD9IBYl9h
0Y5tJX1MQlPlqiwlOH1tJY,2bjwRfXMk4uRgOD9IBYl9h
1RyvyyTE3xzB2ZywiAwp0i,0k1WUmIRnG3xU6fvvDVfRG
50co4Is1HCEo8bhOyUWKpn,0k1WUmIRnG3xU6fvvDVfRG
3TVXtAsR1Inumwj472S9r4,4MRT0dDbhqFKl67WzhUbSw
55Aa2cqylxrFIXC767Z865,4MRT0dDbhqFKl67WzhUbSw
7bXgB6jMjp9ATFy66eO08Z,4MRT0dDbhqFKl67WzhUbSw
55Aa2cqylxrFIXC767Z865,4Kz4RdRCceaA9VgTqBhBfa
3TVXtAsR1Inumwj472S9r4,2P3SLxeQHPqh8qKB6gtJY2
3TVXtAsR1Inumwj472S9r4,6DkXLzBQT7cwXmTyzAB1DJ
3TVXtAsR1Inumwj472S9r4,232jKM7OzWMfuwHyf9r3dX
3fMbdgg4jU18AjLCKBhRSm,6G8kHiVZ1jW7vHMPVRNZU0
5ZS223C6JyBfXasXxrRqOk,0GaBIpyHvytM1UBYmqXu08
3TVXtAsR1Inumwj472S9r4,6HfOzLLjsaXsehIFEsrxTk
5f7VJjfbwm532GiveGC0ZK,37Nqx7iavZpotJSDXZWbJ3
3TVXtAsR1Inumwj472S9r4,1LYYsrjs2VIKB8t534B3cm
3TVXtAsR1Inumwj472S9r4,1iLv1ieT9BZ3qsti9yTCnG
3qiHUAX7zY4Qnjx8TNUzVx,2YSzYUF3jWqb9YP9VXmpjE
7tYKF4w9nC0nq9CsPZTHyP,1yeB8MUNeLo9Ek1UEpsyz6
3TVXtAsR1Inumwj472S9r4,0Y0TOsE1q11qgbi7c5WZsG
17lzZA2AlOHwCwFALHttmp,7y911sqgHGHcyU4ivapjwi
0c173mlxpT3dSFRgMO8XPh,7y911sqgHGHcyU4ivapjwi
3TVXtAsR1Inumwj472S9r4,6wWaVoUOzLQJHd3bWAUpdZ
3TVXtAsR1Inumwj472S9r4,5tFep7dXGd7vEJ668wTPux
1Xyo4u8uXC1ZmMpatF05PJ,0V4l4GQhgnWQGtCWpvA7va
3TVXtAsR1Inumwj472S9r4,3ziMq6htw5Wn5hVQh5w49g
55Aa2cqylxrFIXC767Z865,3ziMq6htw5Wn5hVQh5w49g
6l3HvQ5sa6mXTsMTB19rO5,7aqfrAY2p9BUSiupwk3svU
3TVXtAsR1Inumwj472S9r4,0vMRkjVKltTEd7w18AGuxW
3TVXtAsR1Inumwj472S9r4,0lEjxUUlKqjqXrVlIHFduD
55Aa2cqylxrFIXC767Z865,0m1KYWlT6LhFRBDVq9UNx4
3TVXtAsR1Inumwj472S9r4,5nN8BwAQDJDguq7Dpd3JQQ
699OTQXzgjhIYAHMy9RyPD,6Kj17Afjo1OKJYpf5VzCeo
3TVXtAsR1Inumwj472S9r4,2sUlQXHLnZLY1n6i12MzoJ
3TVXtAsR1Inumwj472S9r4,1kMuU3TNQvHbqvXCWBodmP
3TVXtAsR1Inumwj472S9r4,0A4U044HpN5o6sni7ookNg
3nFkdlSjzX9mRTtwJOzDYB,4NVNapccSX7E5JLiW0uQEy
3TVXtAsR1Inumwj472S9r4,1DMYEiuAgz1OKvANXiNFrN
0Y5tJX1MQlPlqiwlOH1tJY,2KLwPaRDOB87XOYAT2fgxh
0hCNtLu0JehylgoiP8L4Gh,7yfg0Eer6UZZt5tZ1XdsWz
4DdkRBBYG6Yk9Ka8tdJ9BW,156LzfvMNKuXuiot4uzhGD
3TVXtAsR1Inumwj472S9r4,156LzfvMNKuXuiot4uzhGD
3TVXtAsR1Inumwj472S9r4,4Fmwzj3lxLrIVsLyEt4p8G
1sBkRIssrMs1AbVkOJbc7a,4Fmwzj3lxLrIVsLyEt4p8G
55Aa2cqylxrFIXC767Z865,4Fmwzj3lxLrIVsLyEt4p8G
1URnnhqYAYcrqrcwql10ft,4ckuS4Nj4FZ7i3Def3Br8W
3TVXtAsR1Inumwj472S9r4,1bzM1cd6oqFozdr4wK6HdR
3TVXtAsR1Inumwj472S9r4,0b4M7hd7mzLTm99MrMeZsp
3TVXtAsR1Inumwj472S9r4,7ngdkrVQPgP3AoIxUrTpHT
3TVXtAsR1Inumwj472S9r4,0nfR40ozDbrAhJndY4ybqH
3TVXtAsR1Inumwj472S9r4,5W7xC99N2Zzfh69r7I7zWK
3TVXtAsR1Inumwj472S9r4,7wsmIIm0xWmtP7TmACXkJn
7bXgB6jMjp9ATFy66eO08Z,3Q4gttWQ6hxqWOa3tHoTNi
7tYKF4w9nC0nq9CsPZTHyP,0AYt6NMyyLd0rLuvr0UkMH
0hCNtLu0JehylgoiP8L4Gh,75L0qdzRnhwV62UXoNq3pE
2HPaUgqeutzr3jx5a9WyDV,3aJkV6DUTSCqOwVwaBDG9B
3TVXtAsR1Inumwj472S9r4,4ezAjoV01phDz1SqO6SzEU
1sBkRIssrMs1AbVkOJbc7a,4FRW5Nza1Ym91BGV4nFWXI
3TVXtAsR1Inumwj472S9r4,2sqsNXfN0HtgDEgaHXiUTa
3TVXtAsR1Inumwj472S9r4,1rlIrbWboTRGeKfHhgbJRZ
3TVXtAsR1Inumwj472S9r4,4OkiWfrZKmmVoILXk8JEtl
3TVXtAsR1Inumwj472S9r4,78sr3ogs4UzITcCNbXM9cM
2HPaUgqeutzr3jx5a9WyDV,1OHoBC4icbuNhpSxP400sv
1RyvyyTE3xzB2ZywiAwp0i,5e574bhjycX1eH2l4Auage
4OBJLual30L7gRl5UkeRcT,3fpTMuD1u3gJlVI4FadVHs
3hcs9uc56yIGFCSy9leWe7,61S79KIVA4I9FXbnsylEHT
4fxd5Ee7UefO4CUXgwJ7IP,61S79KIVA4I9FXbnsylEHT
3TVXtAsR1Inumwj472S9r4,4KDNRh9Oor80z3XIxdWlui
0Y5tJX1MQlPlqiwlOH1tJY,4KDNRh9Oor80z3XIxdWlui
3nFkdlSjzX9mRTtwJOzDYB,4VCbgIdr8ptegWeJpqLVHH
3TVXtAsR1Inumwj472S9r4,5S1IUPueD0xE0vj4zU3nSf
0VRj0yCOv2FXJNP47XQnx5,5S1IUPueD0xE0vj4zU3nSf
3TVXtAsR1Inumwj472S9r4,3EMp20j5E42MxfFbsEsIvD
3TVXtAsR1Inumwj472S9r4,4SCnCPOUOUXUmCX2uHb3r7
17lzZA2AlOHwCwFALHttmp,0xl1w2q4VLojeXp4JfazPL
50co4Is1HCEo8bhOyUWKpn,0xl1w2q4VLojeXp4JfazPL
1sBkRIssrMs1AbVkOJbc7a,3Jv1XgMPVjdN5xGfnRJ20s
3TVXtAsR1Inumwj472S9r4,3Jv1XgMPVjdN5xGfnRJ20s
55Aa2cqylxrFIXC767Z865,3Jv1XgMPVjdN5xGfnRJ20s
3TVXtAsR1Inumwj472S9r4,739vCwA3EpBSkk3uDsI2wB
3TVXtAsR1Inumwj472S9r4,48YCxFA6VaPwpFd7sFuwnM
3TVXtAsR1Inumwj472S9r4,1rX5L6pyl3rVWb55D8Cprr
